"request_state,200"
"message,OK"
"request_key,d87774924194e386a70fbdc6e4f31e7d"
"model_run,02"
"echeance (heures) :,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93,96,99,102,105,108,111,114,117,120,123,126,129,132,135,138,141,144,147,150,153,156,159,162,165,168,171,174,177,180,183,186,189,192"
"echeance (date/heure) :,2023-05-24 05:00:00 UTC,2023-05-24 08:00:00 UTC,2023-05-24 11:00:00 UTC,2023-05-24 14:00:00 UTC,2023-05-24 17:00:00 UTC,2023-05-24 20:00:00 UTC,2023-05-24 23:00:00 UTC,2023-05-25 02:00:00 UTC,2023-05-25 05:00:00 UTC,2023-05-25 08:00:00 UTC,2023-05-25 11:00:00 UTC,2023-05-25 14:00:00 UTC,2023-05-25 17:00:00 UTC,2023-05-25 20:00:00 UTC,2023-05-25 23:00:00 UTC,2023-05-26 02:00:00 UTC,2023-05-26 05:00:00 UTC,2023-05-26 08:00:00 UTC,2023-05-26 11:00:00 UTC,2023-05-26 14:00:00 UTC,2023-05-26 17:00:00 UTC,2023-05-26 20:00:00 UTC,2023-05-26 23:00:00 UTC,2023-05-27 02:00:00 UTC,2023-05-27 05:00:00 UTC,2023-05-27 08:00:00 UTC,2023-05-27 11:00:00 UTC,2023-05-27 14:00:00 UTC,2023-05-27 17:00:00 UTC,2023-05-27 20:00:00 UTC,2023-05-27 23:00:00 UTC,2023-05-28 02:00:00 UTC,2023-05-28 05:00:00 UTC,2023-05-28 08:00:00 UTC,2023-05-28 11:00:00 UTC,2023-05-28 14:00:00 UTC,2023-05-28 17:00:00 UTC,2023-05-28 20:00:00 UTC,2023-05-28 23:00:00 UTC,2023-05-29 02:00:00 UTC,2023-05-29 05:00:00 UTC,2023-05-29 08:00:00 UTC,2023-05-29 11:00:00 UTC,2023-05-29 14:00:00 UTC,2023-05-29 17:00:00 UTC,2023-05-29 20:00:00 UTC,2023-05-29 23:00:00 UTC,2023-05-30 02:00:00 UTC,2023-05-30 05:00:00 UTC,2023-05-30 08:00:00 UTC,2023-05-30 11:00:00 UTC,2023-05-30 14:00:00 UTC,2023-05-30 17:00:00 UTC,2023-05-30 20:00:00 UTC,2023-05-30 23:00:00 UTC,2023-05-31 02:00:00 UTC,2023-05-31 05:00:00 UTC,2023-05-31 08:00:00 UTC,2023-05-31 11:00:00 UTC,2023-05-31 14:00:00 UTC,2023-05-31 17:00:00 UTC,2023-05-31 20:00:00 UTC,2023-05-31 23:00:00 UTC,2023-06-01 02:00:00 UTC"
"temperature:2m,280.2,281.6,286.8,290.5,291.1,288.3,284.5,282.2,282.4,283.3,288.8,292,293.1,291.2,286.6,283.9,282.6,283.9,289.4,292.7,292.9,290.1,286.5,284.6,282.7,284.2,290.1,293.4,294.1,292.5,287.7,285.8,283.8,286,292.3,295.3,295.7,292.3,287.6,284.7,285.1,283,285.4,288.1,288.6,285.4,281.8,280.8,279.9,282,286.5,285.7,284.9,285.1,285,284.5,285,286.5,292,295.4,296.3,295.7,290.8,289.2"
"temperature:sol,279.9,280.3,284.4,287.8,289.2,287.1,284.8,282.5,282.2,281.9,286.2,289.2,290.8,290.1,287,283.7,282.5,282.2,286.6,289.6,290.4,288.9,286.3,284.4,282.8,282.8,287.5,290.5,291.9,291.8,288.6,286.7,284.8,285.1,290.1,293.1,294.1,291.8,287.4,284.2,284.3,281.7,283.4,285.9,286.9,284.5,281.6,280.8,280,281.2,285.3,285.3,284.9,284.9,285,284.9,285.3,285.9,290.5,293.9,295.5,295.5,292.6,290.6"
"temperature:500hPa,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1"
"temperature:850hPa,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1"
"pression:niveau_de_la_mer,102360,102400,102440,102350,102260,102250,102390,102350,102340,102480,102540,102520,102500,102520,102660,102660,102620,102700,102660,102630,102580,102590,102680,102650,102610,102610,102550,102440,102330,102280,102280,102210,102090,102120,102040,101880,101770,101770,101880,101900,101850,101940,101920,101840,101690,101720,101770,101640,101500,101450,101290,101210,101140,101210,101270,101290,101330,101500,101560,101560,101550,101600,101750,101820"
"pluie,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0.1,0,0,0.1,0,0,0.1,0.1,0,0,0"
"pluie_convective,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0,0,0.1,0.1,0,0,0"
"humidite:2m,87.7,75.9,49.8,40.4,49.2,68.7,78.2,88.9,89.1,82,56.2,49.6,51.1,64.4,82.2,85,87.7,79.4,62.6,54.8,53,60.1,67.8,74.2,83.1,74.8,57.2,48.5,43.6,59.4,85.2,88.5,89.1,77.6,58,48.3,47.5,60.3,62.9,92.2,77,72.5,55.4,43.6,41.4,59.9,71.9,73.6,84.4,83.2,60.2,68,85.9,84.7,89.7,94.8,97.7,88.2,63.5,54.7,51.3,59.1,79.6,87.9"
